month,customer_id,plan,seats,mrr
2026-03,C0101,pro,2,198
2026-03,C0015,pro,3,297
2026-03,C0374,pro,3,297
2026-03,C0343,pro,3,297
2026-03,C0133,pro,3,297
2026-03,C0125,pro,3,297
2026-03,C0404,pro,3,297
2026-03,C0402,pro,4,396
2026-03,C0266,pro,4,396
2026-03,C0417,pro,3,297
2026-03,C0089,pro,4,396
2026-03,C0345,pro,4,396
2026-03,C0020,pro,4,396
2026-03,C0059,pro,4,396
2026-03,C0086,pro,5,495
2026-03,C0135,pro,3,297
2026-03,C0033,pro,5,495
2026-03,C0284,pro,4,396
2026-03,C0398,pro,3,297
2026-03,C0218,pro,3,297
2026-03,C0409,pro,5,495
2026-03,C0388,pro,2,198
2026-03,C0045,pro,5,495
2026-03,C0073,pro,3,297
2026-03,C0085,pro,4,396
2026-03,C0052,pro,2,198
2026-03,C0330,pro,3,297
2026-03,C0044,pro,3,297
2026-03,C0032,pro,3,297
2026-03,C0287,pro,2,198
2026-03,C0221,pro,5,495
2026-03,C0077,pro,3,297
2026-03,C0042,pro,3,297
2026-03,C0341,pro,5,495
2026-03,C0064,pro,2,198
2026-03,C0139,pro,3,297
2026-03,C0216,pro,2,198
2026-03,C0066,pro,4,396
2026-03,C0389,pro,4,396
2026-03,C0034,pro,5,495
2026-03,C0111,pro,4,396
2026-03,C0247,pro,5,495
2026-03,C0093,pro,3,297
2026-03,C0193,pro,4,396
2026-03,C0356,pro,4,396
2026-03,C0228,pro,2,198
2026-03,C0270,pro,2,198
2026-03,C0411,pro,2,198
2026-03,C0217,pro,2,198
2026-03,C0400,pro,3,297
2026-03,C0202,pro,3,297
2026-03,C0150,pro,2,198
2026-03,C0373,pro,3,297
2026-03,C0006,pro,5,495
2026-03,C0243,pro,4,396
2026-03,C0063,pro,2,198
2026-03,C0337,pro,4,396
2026-03,C0364,pro,3,297
2026-03,C0298,pro,2,198
2026-03,C0269,pro,5,495
2026-03,C0065,pro,4,396
2026-03,C0395,pro,6,594
2026-03,C0226,pro,2,198
2026-03,C0195,pro,6,594
2026-03,C0250,pro,4,396
2026-03,C0387,pro,4,396
2026-03,C0291,pro,3,297
2026-03,C0038,pro,3,297
2026-03,C0096,pro,4,396
2026-03,C0159,pro,5,495
2026-03,C0308,pro,3,297
2026-03,C0262,pro,5,495
2026-03,C0058,pro,4,396
2026-03,C0384,pro,2,198
2026-03,C0145,pro,5,495
2026-03,C0420,pro,2,198
2026-03,C0227,pro,3,297
2026-03,C0282,pro,3,297
2026-03,C0040,pro,2,198
2026-03,C0327,pro,3,297
2026-03,C0361,pro,5,495
2026-03,C0144,pro,3,297
2026-03,C0199,pro,3,297
2026-03,C0118,pro,5,495
2026-03,C0029,pro,3,297
2026-03,C0359,pro,4,396
2026-03,C0279,pro,4,396
2026-03,C0323,pro,4,396
2026-03,C0047,pro,3,297
2026-03,C0143,pro,5,495
2026-03,C0229,pro,3,297
2026-03,C0317,pro,4,396
2026-03,C0355,pro,3,297
2026-03,C0276,pro,4,396
2026-03,C0132,pro,4,396
2026-03,C0023,pro,4,396
2026-03,C0190,pro,3,297
2026-03,C0107,pro,5,495
2026-03,C0016,pro,6,594
2026-03,C0288,pro,4,396
2026-03,C0253,pro,4,396
2026-03,C0311,pro,4,396
2026-03,C0035,pro,3,297
2026-03,C0394,pro,4,396
2026-03,C0157,pro,4,396
2026-03,C0302,pro,3,297
2026-03,C0342,pro,4,396
2026-03,C0375,pro,3,297
2026-03,C0286,pro,4,396
2026-03,C0296,pro,3,297
2026-03,C0082,pro,5,495
2026-03,C0396,pro,5,495
2026-03,C0295,pro,3,297
2026-03,C0142,pro,3,297
2026-03,C0242,pro,3,297
2026-03,C0419,pro,4,396
2026-03,C0223,pro,4,396
2026-03,C0219,pro,3,297
2026-03,C0039,pro,3,297
2026-03,C0272,pro,2,198
2026-03,C0372,pro,2,198
2026-03,C0175,pro,4,396
2026-03,C0156,pro,3,297
2026-03,C0049,pro,3,297
2026-03,C0100,pro,3,297
2026-03,C0010,pro,4,396
2026-03,C0121,pro,4,396
2026-03,C0174,pro,5,495
2026-03,C0377,pro,4,396
2026-03,C0188,pro,4,396
2026-03,C0206,pro,2,198
2026-03,C0099,pro,4,396
2026-03,C0297,pro,4,396
2026-03,C0036,pro,3,297
2026-03,C0346,pro,4,396
2026-03,C0307,pro,6,594
2026-03,C0081,pro,4,396
2026-03,C0001,pro,4,396
2026-03,C0379,pro,4,396
2026-03,C0057,pro,3,297
2026-03,C0385,pro,6,594
2026-03,C0334,pro,5,495
2026-03,C0378,pro,4,396
2026-03,C0410,pro,4,396
2026-03,C0399,pro,5,495
2026-03,C0018,pro,4,396
2026-03,C0031,pro,4,396
2026-03,C0198,pro,2,198
2026-03,C0177,pro,4,396
2026-03,C0104,pro,4,396
2026-03,C0230,pro,4,396
2026-03,C0013,pro,4,396
2026-03,C0147,pro,5,495
2026-03,C0365,pro,3,297
2026-03,C0329,pro,4,396
2026-03,C0208,pro,5,495
2026-03,C0028,pro,5,495
2026-03,C0312,pro,3,297
2026-03,C0413,pro,3,297
2026-03,C0240,pro,3,297
2026-03,C0151,pro,4,396
2026-03,C0376,pro,3,297
2026-03,C0108,pro,3,297
2026-03,C0148,pro,3,297
2026-03,C0338,pro,4,396
2026-03,C0167,pro,3,297
2026-03,C0354,pro,2,198
2026-03,C0369,pro,4,396
2026-03,C0358,pro,4,396
2026-03,C0309,pro,1,99
2026-03,C0310,pro,4,396
2026-03,C0124,pro,4,396
2026-03,C0008,pro,3,297
2026-03,C0087,pro,4,396
2026-03,C0030,pro,1,99
2026-03,C0386,pro,4,396
2026-03,C0222,pro,3,297
